Here’s the list in lowercase and inline:

date, year, territorial authority, territorial_authority_grouped, region, gmp, venues, gaming machines, dep_very_low (1-2), dep_medium_low (3-4), dep_medium (5-6), dep_medium_high (7-8), dep_high (9-10)
1/03/2023,2023,Ruapehu District,Ruapehu District,Manawatu-Wanganui,667300.73,7,91,0,0,1,2,4
1/03/2023,2023,Selwyn District,Selwyn District,Canterbury,1265815.07,13,121,8,5,0,0,0
1/03/2023,2023,Southland District,Southland District,Southland,886884.35,14,86,0,6,5,3,0
1/03/2023,2023,South Taranaki District,South Taranaki District (March 2021 incd. Stratford),Taranaki,2092168.56,13,157,0,0,1,3,9
1/03/2023,2023,South Waikato District,South Waikato District,Waikato,2011759.5,9,142,0,0,0,0,9
1/03/2023,2023,South Wairarapa District,South Wairarapa District,Wellington,481573.17,4,51,0,2,1,1,0
1/03/2023,2023,Tararua District,Tararua District,Manawatu-Wanganui,994019.51,7,96,0,0,0,1,6
1/03/2023,2023,Tasman District,Tasman District,Tasman,2423201.46,13,166,2,0,3,3,5
1/03/2023,2023,Taupo District,Taupo District,Waikato,2988160.22,11,151,0,0,1,8,2
1/03/2023,2023,Tauranga District,Tauranga District,Bay of Plenty,9879766.33,34,497,2,6,5,11,10
1/03/2023,2023,Thames-Coromandel District,Thames-Coromandel District,Waikato,3155609.3,20,248,1,2,5,9,3
1/03/2023,2023,Timaru District,Timaru District,Canterbury,2698250.9,13,166,0,1,4,5,3
1/03/2023,2023,Upper Hutt City,Upper Hutt City,Wellington,2804941.46,10,156,1,7,0,2,0
1/03/2023,2023,Waikato District,Waikato District,Waikato,2648712.94,17,224,0,2,0,8,7
1/03/2023,2023,Waimakariri District,Waimakariri District,Canterbury,2409931.55,11,165,0,1,3,5,2
1/03/2023,2023,Waimate District,Waimate District,Canterbury,211210.35,2,17,0,0,0,0,2
1/03/2023,2023,Waipa District,Waipa District,Waikato,2585761.99,15,228,0,1,2,12,0
1/03/2023,2023,Wairoa District,Wairoa District,Hawke's Bay,577379.2,4,58,0,0,0,0,4
1/03/2023,2023,Waitaki District,Waitaki District,Canterbury,935893.35,11,108,0,3,4,1,3
1/03/2023,2023,Waitomo District,Waitomo District,Waikato,629812.16,5,60,0,0,0,1,4
1/03/2023,2023,Wanganui District,Wanganui District,Manawatu-Wanganui,2983409.97,14,222,0,0,1,0,13
1/03/2023,2023,Wellington City,Wellington City,Wellington,9729017.43,36,593,6,10,9,9,2
1/03/2023,2023,Western Bay Of Plenty District,Western Bay Of Plenty District,Bay of Plenty,1906865.48,10,148,1,2,1,6,0
1/03/2023,2023,Westland District,Westland District,West Coast,422000.72,5,52,0,0,0,5,0
1/03/2023,2023,Whakatane District,Whakatane District,Bay of Plenty,3115767.13,11,179,0,1,0,2,8
1/03/2023,2023,Whangarei District,Whangarei District,Northland,4887337.24,18,252,0,1,4,4,9
1/12/2022,2022,Ashburton District,Ashburton District,Canterbury,1856692.01,12,138,0,5,3,4,0
1/12/2022,2022,Auckland Council - Albert - Eden,Auckland City,Auckland,5134641.2,11,157,1,9,1,0,0
